Date,Money_Supply_M2,M2_Growth
1960-01-01,272.4,
1961-01-01,292.83,
1962-01-01,325.43,
1963-01-01,361.82,
1964-01-01,430.49,
1965-01-01,467.37,
1966-01-01,518.14,
1967-01-01,451.34,
1968-01-01,515.31,
1969-01-01,660.4,
1970-01-01,978.2,
1971-01-01,1041.8,
1972-01-01,1214.9,345.99853157121885
1973-01-01,1522.5,419.9262370658745
1974-01-01,2352.3,622.8282579971116
1975-01-01,4241.2,1072.1850643966613
1976-01-01,5905.1,1271.7159515900485
1977-01-01,7898.8,1590.0528489205556
1978-01-01,7985.4,1441.1664801019028
1979-01-01,10224.6,2165.3875127398414
1980-01-01,15100.0,2830.274980109061
1981-01-01,16161.7,2347.259236826166
1982-01-01,18093.6,1749.6830913923532
1983-01-01,20879.1,1904.1370704549815
1984-01-01,23370.0,1823.6151123549262
1985-01-01,26277.6,1625.9507389162561
1986-01-01,27389.8,1064.383794584024
1987-01-01,33667.4,693.8177874186553
1988-01-01,45446.9,669.6211749165974
1989-01-01,47055.0,495.7234010229402
1990-01-01,68662.5,759.8504771207454
1991-01-01,87499.8,755.7772431195353
1992-01-01,129085.47,754.8706622516556
1993-01-01,132439.82,719.4671352642357
1993-02-01,137959.78,662.4783348808419
1993-03-01,146571.85,602.0027204237731
1993-04-01,159111.03,580.8345314505776
1993-05-01,153006.36,482.2691570006393
1993-06-01,159451.38,482.15605809461925
1993-07-01,166936.84,395.8411994986247
1993-08-01,175633.63,286.4589884018492
1993-09-01,176119.28,274.28388056529593
1993-10-01,186764.61,172.0038012015292
1993-11-01,191591.22,118.96189477004518
1993-12-01,198479.2,53.757971365793544
1994-01-01,208020.46,57.067912052432554
1994-02-01,211710.87,53.45839925230382
1994-03-01,208201.79,42.04759645184255
1994-04-01,211444.16,32.89095042625267
1994-05-01,219594.19,43.519648464286064
1994-06-01,228264.76,43.15634019598953
1994-07-01,224554.66,34.514742222268026
1994-08-01,233050.69,32.691381485425076
1994-09-01,242799.24,37.86068169254382
1994-10-01,251070.65,34.43159814913543
1994-11-01,257854.77,34.585901170210185
1994-12-01,266944.89,34.495146090875004
1995-01-01,275184.87,32.28740576768266
1995-02-01,289428.15,36.70915905262684
1995-03-01,254523.06,22.248257327662735
1995-04-01,277871.39,31.415968168617205
1995-05-01,267762.84,21.935302568797475
1995-06-01,290668.7,27.33840300184751
1995-07-01,283823.55,26.393970180801407
1995-08-01,303190.38,30.096323679625225
1995-09-01,301913.37,24.34691723087765
1995-10-01,300501.99,19.688219232315674
1995-11-01,305461.04,18.462435269279688
1995-12-01,318763.47,19.411714530291245
1996-01-01,324359.9,17.869816025859286
1996-02-01,325116.75,12.330728714535887
1996-03-01,328714.66,29.14926451064983
1996-04-01,343710.15,23.693968637793184
1996-05-01,338115.31,26.274172323538238
1996-06-01,354011.5,21.792095261718924
1996-07-01,344504.87,21.379945392128306
1996-08-01,352013.54,16.10313625386135
1996-09-01,351911.29,16.56035305756747
1996-10-01,354051.79,17.820114935012565
1996-11-01,363404.27,18.969106502092714
1996-12-01,370333.53,16.178158682988375
1997-01-01,394976.36,21.771020400487217
1997-02-01,391543.46,20.431648015674387
1997-03-01,409906.61,24.6998262870296
1997-04-01,409251.33,19.068735677430524
1997-05-01,410598.69,21.437473505710237
1997-06-01,410565.51,15.975190071508983
1997-07-01,405113.0,17.59282241786597
1997-08-01,408260.31,15.978581392068048
1997-09-01,425473.68,20.90367433224436
1997-10-01,429548.03,21.323501852652704
1997-11-01,434393.22,19.534429245974437
1997-12-01,429731.33,16.039001383428598
1998-01-01,435811.72,10.338684573426104
1998-02-01,439409.63,12.224995406640172
1998-03-01,468043.32,14.182915957368936
1998-04-01,471368.11,15.1781498181081
1998-05-01,472241.28,15.012855983539563
1998-06-01,477287.77,16.251306642878994
1998-07-01,496124.98,22.465825584466547
1998-08-01,500806.8,22.66850039867945
1998-09-01,527028.76,23.868710280739336
1998-10-01,521756.3,21.466346848337302
1998-11-01,522233.04,20.221268646872524
1998-12-01,525637.73,22.317758400347486
1999-01-01,536013.84,22.992066390504597
1999-02-01,553018.13,25.854804320060087
1999-03-01,609030.07,30.122585661515245
1999-04-01,589002.28,24.955903359690602
1999-05-01,686392.93,45.34793104067481
1999-06-01,634937.44,33.03031837585109
1999-07-01,621341.13,25.238831957221763
1999-08-01,629917.0,25.780440680917273
1999-09-01,655615.4,24.398410439688334
1999-10-01,624099.2,19.615077000507707
1999-11-01,708324.79,35.63385227407289
1999-12-01,699733.7,33.12090439169959
2000-01-01,648506.59,20.98691145736087
2000-02-01,722772.36,30.695961089015288
2000-03-01,795529.02,30.62228930666757
2000-04-01,801187.83,36.02457192525637
2000-05-01,808090.48,17.73001216664629
2000-06-01,904153.97,42.4004812190631
2000-07-01,942642.43,51.71093373458153
2000-08-01,948756.84,50.6161668918286
2000-09-01,962743.77,46.84581387197433
2000-10-01,984274.45,57.71121802431409
2000-11-01,986750.06,39.307571036727374
2000-12-01,1036079.5,48.06768632123908
2001-01-01,1092754.3,68.50319130912766
2001-02-01,1204777.7,66.68840241760212
2001-03-01,1274030.4,60.148827757408505
2001-04-01,1289159.1,60.905976317688214
2001-05-01,1303536.4,61.3106987722464
2001-06-01,1263161.2,39.706426329135056
2001-07-01,1271785.0,34.91701195754575
2001-08-01,1254749.7,32.25197933750865
2001-09-01,1327624.7,37.900108146116594
2001-10-01,1309696.6,33.06213526115609
2001-11-01,1324715.1,34.25031866732291
2001-12-01,1315869.15,27.004650704892818
2002-01-01,1347265.6,23.290807457815554
2002-02-01,1381821.4,14.695134214386595
2002-03-01,1423345.5,11.719900875206758
2002-04-01,1435397.5,11.343704590069592
2002-05-01,1442433.7,10.655421666782772
2002-06-01,1502054.9,18.912368429302617
2002-07-01,1503378.9,18.210145582783245
2002-08-01,1528379.1,21.807488776446824
2002-09-01,1605419.1,20.924166294887424
2002-10-01,1691612.5,29.160639189259552
2002-11-01,1610959.2,21.607974424085597
2002-12-01,1599494.6,21.55422900521684
2003-01-01,1746192.1,29.610085791546958
2003-02-01,1778660.2,28.718530484475057
2003-03-01,1918925.7,34.81798340599664
2003-04-01,1966190.1,36.978788105733784
2003-05-01,1857919.5,28.804498952014224
2003-06-01,2124315.7,41.427300693203705
2003-07-01,1952426.1,29.86919664763157
2003-08-01,1972619.0,29.066080529366033
2003-09-01,1981068.5,23.39883710116566
2003-10-01,2071969.0,22.484848037006124
2003-11-01,2079576.6,29.089340065223258
2003-12-01,1985191.8,24.113691912432845
2004-01-01,1917503.4,9.810564370323283
2004-02-01,2062656.1,15.96684403237898
2004-03-01,2106238.6,9.761341984215456
2004-04-01,2089655.8,6.279438595484743
2004-05-01,2105957.6,13.350314693397646
2004-06-01,2113281.4,-0.5194284446516262
2004-07-01,2123061.2,8.739644486416154
2004-08-01,2141896.8,8.581373291040983
2004-09-01,2156836.1,8.87236357551493
2004-10-01,2231973.6,7.722345266748687
2004-11-01,2269179.3,9.117370333941999
2004-12-01,2263587.9,14.023637413775326
2005-01-01,2349890.3,22.549472402500047
2005-02-01,2444112.4,18.493451235036208
2005-03-01,2568065.3,21.926608884672415
2005-04-01,2503988.4,19.827791734887622
2005-05-01,2566100.6,21.84958519582729
2005-06-01,2691297.0,27.351568040110518
2005-07-01,2803529.6,32.051285191401924
2005-08-01,2775685.6,29.59007175322361
2005-09-01,2772993.1,28.56763200504664
2005-10-01,2699799.6,20.960194152834056
2005-11-01,2664644.8,17.427688503945028
2005-12-01,2814846.1,24.353293282756994
2006-01-01,2967139.5,26.267149577152615
2006-02-01,2227472.8,-8.863733108182759
2006-03-01,3307667.9,28.799991962821192
2006-04-01,3540703.6,41.402556018230776
2006-05-01,3684404.5,43.579893165529036
2006-06-01,3911821.5,45.35079183011017
2006-07-01,4109850.4,46.595577232357364
2006-08-01,4189053.5,50.91959622516325
2006-09-01,4320672.3,55.81258748894831
2006-10-01,4730662.8,75.22273875438754
2006-11-01,4557557.2,71.03807606927575
2006-12-01,4027901.7,43.094917338464796
2007-01-01,3900134.7,31.444264753982765
2007-02-01,4122142.0,85.05913966716004
2007-03-01,4798317.4,45.066480223120365
2007-04-01,5052863.3,42.70788721202192
2007-05-01,4909220.6,33.243258171028714
2007-06-01,5116246.7,30.789370118242875
2007-07-01,5130160.2,24.825959601838555
2007-08-01,5550488.3,32.49981887316549
2007-09-01,5672622.4,31.29027165517737
2007-10-01,5585227.8,18.064382014291947
2007-11-01,5881558.6,29.05068092178853
2007-12-01,5809826.5,44.23953047314932
2008-01-01,6527673.0,67.37045005137898
2008-02-01,7016468.5,70.21413866868245
2008-03-01,7998232.8,66.6882811879014
2008-04-01,7805093.5,54.46872469318536
2008-05-01,7546333.7,53.71755141742869
2008-06-01,7948368.8,55.35546399668334
2008-07-01,8067591.2,57.258075488558816
2008-08-01,8335290.5,50.172201966446806
2008-09-01,8960287.7,57.95670975737779
2008-10-01,8339115.5,49.306631682954816
2008-11-01,8387156.7,42.6009204430948
2008-12-01,9166835.3,57.781567143184056
2009-01-01,9294035.9,42.37900550471816
2009-02-01,9087967.0,29.523377750502267
2009-03-01,8997817.3,12.497566962542027
2009-04-01,9001008.1,15.322232847050454
2009-05-01,8720581.4,15.560505891755083
2009-06-01,9077026.5,14.199865763652042
2009-07-01,8889358.8,10.186034215516537
2009-08-01,9475324.9,13.677200572673499
2009-09-01,9458490.2,5.560117227039485
2009-10-01,9911551.3,18.85614607448476
2009-11-01,10239558.4,22.086170155852702
2009-12-01,10780627.14,17.604678028850373
2010-01-01,10446373.94,12.398682901579905
2010-02-01,10792645.17,18.7575303695535
2010-03-01,11023312.97,22.510966854150283
2010-04-01,10972487.61,21.902874523576976
2010-05-01,10759314.65,23.37840972392047
2010-06-01,10845498.1,19.482939704979387
2010-07-01,10941435.3,23.084640255492882
2010-08-01,11520644.68,21.585748262837924
2010-09-01,11224789.77,18.67422318627554
2010-10-01,11224607.28,13.247734287568068
2010-11-01,11142651.36,8.819647534799934
2010-12-01,11525530.34,6.9096462601525355
2011-01-01,11561525.95,10.675015238828411
2011-02-01,11595668.3,7.4404663300906115
2011-03-01,11653623.81,5.717980081989804
2011-04-01,11898956.66,8.443564330440845
2011-05-01,11986234.87,11.403330601545324
2011-06-01,12172096.71,12.231790534360076
2011-07-01,12389274.84,13.232628995210515
2011-08-01,12508014.99,8.570443212384538
2011-09-01,12618080.33,12.412620534985752
2011-10-01,12172500.07,8.44477464872162
2011-11-01,12210412.37,9.582647571950954
2011-12-01,13303494.5,15.426311046438146
2012-01-01,13755293.22,18.97472080664233
2012-02-01,13153787.49,13.437079689490595
2012-03-01,13270973.81,13.878515613419307
2012-04-01,13304783.81,11.814709391503907
2012-05-01,13603139.34,13.489677847435688
2012-06-01,13480391.26,10.748308867158185
2012-07-01,13392426.38,8.096935074530975
2012-08-01,13770062.26,10.089908518729708
2012-09-01,14065267.13,11.469151900699636
2012-10-01,14399299.17,18.293687304944896
2012-11-01,15062729.97,23.359715573635476
2012-12-01,15483847.53,16.389325601630446
2013-01-01,15308392.82,11.290923247945116
2013-02-01,15547624.71,18.198843654878004
2013-03-01,15669169.15,18.070982388593837
2013-04-01,15634382.05,17.509478344541396
2013-05-01,15424052.62,13.38597829874173
2013-06-01,15593172.51,15.672996497284153
2013-07-01,14811429.8,10.59556632783969
2013-08-01,14619449.23,6.168359691933589
2013-09-01,14362451.07,2.1128922561743035
2013-10-01,14529508.0,0.9042719958988199
2013-11-01,14734882.8,-2.176545491109272
2013-12-01,15688963.55,1.324709634363086
2014-01-01,15493689.5,1.2104254324981412
2014-02-01,15424175.17,-0.794009003321261
2014-03-01,17732918.56,13.17076476897947
2014-04-01,17886647.83,14.40585098149112
2014-05-01,17622558.39,14.25374915506481
2014-06-01,17576640.3,12.720104191292636
2014-07-01,18102242.84,22.218064592251572
2014-08-01,17898902.47,22.432125782620858
2014-09-01,18200156.68,26.720408593879363
