Date,All_Items,Food,Exchange Rate,GDP,INDICATOR,Value,Money_Supply_M2
2010-01-01,103.132596576434,103.70029585141806,149.78,12583.48,Savings Rate,3.34,10446373.94
2010-01-01,103.132596576434,103.70029585141806,149.78,12583.48,Prime Lending Rate Of Commercial Banks,18.82,10446373.94
2010-04-01,105.7237498214395,106.55992390589984,149.89,12934.53,Savings Rate,2.94,10972487.61
2010-04-01,105.7237498214395,106.55992390589984,149.89,12934.53,Prime Lending Rate Of Commercial Banks,19.05,10972487.61
2010-07-01,109.94,111.61,150.1,14304.44,Savings Rate,1.62,10941435.3
2010-07-01,109.94,111.61,150.1,14304.44,Prime Lending Rate Of Commercial Banks,17.4,10941435.3
2010-10-01,112.71543735655166,113.97514461579244,151.25,14789.82,Savings Rate,1.48,11224607.28
2010-10-01,112.71543735655166,113.97514461579244,151.25,14789.82,Prime Lending Rate Of Commercial Banks,16.16,11224607.28
2011-01-01,115.59066922154072,114.3348045299056,151.55,13450.72,Savings Rate,1.48,11561525.95
2011-01-01,115.59066922154072,114.3348045299056,151.55,13450.72,Prime Lending Rate Of Commercial Banks,15.77,11561525.95
2011-04-01,117.66131617063078,118.95148102822748,153.97,13757.73,Savings Rate,1.41,11898956.66
2011-04-01,117.66131617063078,118.95148102822748,153.97,13757.73,Prime Lending Rate Of Commercial Banks,15.75,11898956.66
2011-07-01,120.2714833022603,120.40148406481944,151.86,14819.62,Savings Rate,1.42,12389274.84
2011-07-01,120.2714833022603,120.40148406481944,151.86,14819.62,Prime Lending Rate Of Commercial Banks,15.84,12389274.84
2011-10-01,124.60065849033248,124.98067740430356,153.26,15482.97,Savings Rate,1.4,12172500.07
2011-10-01,124.60065849033248,124.98067740430356,153.26,15482.97,Prime Lending Rate Of Commercial Banks,16.49,12172500.07
2012-01-01,130.18511156183197,129.2584023633375,158.39,13915.51,Savings Rate,1.42,13755293.22
2012-01-01,130.18511156183197,129.2584023633375,158.39,13915.51,Prime Lending Rate Of Commercial Banks,16.92,13755293.22
2012-04-01,132.79922295659264,132.3283662348506,157.33,14323.05,Savings Rate,1.81,13304783.81
2012-04-01,132.79922295659264,132.3283662348506,157.33,14323.05,Prime Lending Rate Of Commercial Banks,16.9,13304783.81
2012-07-01,135.66247676313074,134.9612974111717,157.43,15645.43,Savings Rate,1.79,13392426.38
2012-07-01,135.66247676313074,134.9612974111717,157.43,15645.43,Prime Lending Rate Of Commercial Banks,16.96,13392426.38
2012-10-01,139.17068293579032,138.8085439109911,157.32,16045.9,Savings Rate,1.76,14399299.17
2012-10-01,139.17068293579032,138.8085439109911,157.32,16045.9,Prime Lending Rate Of Commercial Banks,16.48,14399299.17
2013-01-01,141.94242593503455,142.32078961641432,157.3,14535.42,Savings Rate,1.69,15308392.82
2013-01-01,141.94242593503455,142.32078961641432,157.3,14535.42,Prime Lending Rate Of Commercial Banks,16.57,15308392.82
2013-04-01,144.81957672026283,145.56955657499083,157.31,15096.76,Savings Rate,1.82,15634382.05
2013-04-01,144.81957672026283,145.56955657499083,157.31,15096.76,Prime Lending Rate Of Commercial Banks,16.65,15634382.05
2013-07-01,147.44104732747647,148.4497416713427,157.32,16454.37,Savings Rate,2.42,14811429.8
2013-07-01,147.44104732747647,148.4497416713427,157.32,16454.37,Prime Lending Rate Of Commercial Banks,16.47,14811429.8
2013-10-01,150.03608402171807,151.64634416067074,157.42,17132.16,Savings Rate,2.39,14529508.0
2013-10-01,150.03608402171807,151.64634416067074,157.42,17132.16,Prime Lending Rate Of Commercial Banks,17.1,14529508.0
2014-01-01,153.26452754872915,155.51554559442602,157.29,15438.68,Savings Rate,3.27,15493689.5
2014-01-01,153.26452754872915,155.51554559442602,157.29,15438.68,Prime Lending Rate Of Commercial Banks,16.95,15493689.5
2014-04-01,156.189702184791,159.27353222306417,157.29,16084.62,Savings Rate,3.42,17886647.83
2014-04-01,156.189702184791,159.27353222306417,157.29,16084.62,Prime Lending Rate Of Commercial Banks,16.7,17886647.83
2014-07-01,159.65091163132766,163.11365149947358,157.29,17479.13,Savings Rate,3.41,18102242.84
2014-07-01,159.65091163132766,163.11365149947358,157.29,17479.13,Prime Lending Rate Of Commercial Banks,16.44,18102242.84
2014-10-01,162.129385758122,165.81503205697547,157.31,18150.36,Savings Rate,3.43,18496197.88
2014-10-01,162.129385758122,165.81503205697547,157.31,18150.36,Prime Lending Rate Of Commercial Banks,16.48,18496197.88
2015-01-01,165.76640124921758,169.84578002615112,169.68,16050.6,Savings Rate,3.48,18965533.5
2015-01-01,165.76640124921758,169.84578002615112,169.68,16050.6,Prime Lending Rate Of Commercial Banks,16.86,18965533.5
2015-04-01,169.708184376575,174.38843689422998,197.0,16463.34,Savings Rate,3.6,19608078.85
2015-04-01,169.708184376575,174.38843689422998,197.0,16463.34,Prime Lending Rate Of Commercial Banks,15.95,19608078.85
2015-07-01,174.36741071215195,179.50497260588975,196.97,17976.23,Savings Rate,3.63,18424703.08
2015-07-01,174.36741071215195,179.50497260588975,196.97,17976.23,Prime Lending Rate Of Commercial Banks,17.3,18424703.08
2015-10-01,177.2007068455382,182.60998274323876,196.99,18533.75,Savings Rate,3.71,18204395.78
2015-10-01,177.2007068455382,182.60998274323876,196.99,18533.75,Prime Lending Rate Of Commercial Banks,16.84,18204395.78
2016-01-01,181.7076661932753,187.92069184717352,197.0,15943.71,Savings Rate,3.29,19799457.54
2016-01-01,181.7076661932753,187.92069184717352,197.0,15943.71,Prime Lending Rate Of Commercial Banks,16.54,19799457.54
2016-04-01,192.99391978523843,197.3975376000611,197.0,16218.54,Savings Rate,3.54,20727909.47
