INDICATOR,Date,Value
Savings Rate,2000-01-01,5.4
Prime Lending Rate Of Commercial Banks,2000-01-01,21.3
Savings Rate,2000-02-01,4.9
Prime Lending Rate Of Commercial Banks,2000-02-01,21.2
Savings Rate,2000-03-01,5.0
Prime Lending Rate Of Commercial Banks,2000-03-01,21.9
Savings Rate,2000-04-01,5.2
Prime Lending Rate Of Commercial Banks,2000-04-01,21.5
Savings Rate,2000-05-01,5.1
Prime Lending Rate Of Commercial Banks,2000-05-01,20.8
Savings Rate,2000-06-01,5.1
Prime Lending Rate Of Commercial Banks,2000-06-01,20.8
Savings Rate,2000-07-01,4.77
Prime Lending Rate Of Commercial Banks,2000-07-01,20.99
Savings Rate,2000-08-01,5.1
Prime Lending Rate Of Commercial Banks,2000-08-01,21.5
Savings Rate,2000-09-01,5.0
Prime Lending Rate Of Commercial Banks,2000-09-01,21.3
Savings Rate,2000-10-01,4.95
Prime Lending Rate Of Commercial Banks,2000-10-01,21.25
Savings Rate,2000-11-01,5.0
Prime Lending Rate Of Commercial Banks,2000-11-01,21.4
Savings Rate,2000-12-01,4.9
Prime Lending Rate Of Commercial Banks,2000-12-01,21.33
Savings Rate,2001-01-01,4.6
Prime Lending Rate Of Commercial Banks,2001-01-01,21.3
Savings Rate,2001-02-01,4.6
Prime Lending Rate Of Commercial Banks,2001-02-01,21.4
Savings Rate,2001-03-01,4.9
Prime Lending Rate Of Commercial Banks,2001-03-01,21.7
Savings Rate,2001-04-01,4.8
Prime Lending Rate Of Commercial Banks,2001-04-01,22.2
Savings Rate,2001-05-01,4.7
Prime Lending Rate Of Commercial Banks,2001-05-01,22.6
Savings Rate,2001-06-01,5.2
Prime Lending Rate Of Commercial Banks,2001-06-01,23.5
Savings Rate,2001-07-01,5.1
Prime Lending Rate Of Commercial Banks,2001-07-01,23.6
Savings Rate,2001-08-01,5.0
Prime Lending Rate Of Commercial Banks,2001-08-01,23.7
Savings Rate,2001-09-01,5.0
Prime Lending Rate Of Commercial Banks,2001-09-01,23.9
Savings Rate,2001-10-01,5.0
Prime Lending Rate Of Commercial Banks,2001-10-01,25.09
Savings Rate,2001-11-01,5.0
Prime Lending Rate Of Commercial Banks,2001-11-01,24.66
Savings Rate,2001-12-01,5.0
Prime Lending Rate Of Commercial Banks,2001-12-01,25.98
Savings Rate,2002-01-01,3.38
Prime Lending Rate Of Commercial Banks,2002-01-01,25.98
Savings Rate,2002-02-01,3.38
Prime Lending Rate Of Commercial Banks,2002-02-01,25.98
Savings Rate,2002-03-01,8.51
Prime Lending Rate Of Commercial Banks,2002-03-01,24.49
Savings Rate,2002-04-01,4.05
Prime Lending Rate Of Commercial Banks,2002-04-01,25.4
Savings Rate,2002-05-01,3.16
Prime Lending Rate Of Commercial Banks,2002-05-01,25.58
Savings Rate,2002-06-01,3.69
Prime Lending Rate Of Commercial Banks,2002-06-01,25.26
Savings Rate,2002-07-01,3.58
Prime Lending Rate Of Commercial Banks,2002-07-01,26.38
Savings Rate,2002-08-01,4.05
Prime Lending Rate Of Commercial Banks,2002-08-01,26.21
Savings Rate,2002-09-01,4.39
Prime Lending Rate Of Commercial Banks,2002-09-01,26.16
Savings Rate,2002-10-01,4.03
Prime Lending Rate Of Commercial Banks,2002-10-01,25.11
Savings Rate,2002-11-01,3.78
Prime Lending Rate Of Commercial Banks,2002-11-01,21.06
Savings Rate,2002-12-01,3.74
Prime Lending Rate Of Commercial Banks,2002-12-01,20.59
Savings Rate,2003-01-01,3.56
Prime Lending Rate Of Commercial Banks,2003-01-01,21.93
Savings Rate,2003-02-01,4.26
Prime Lending Rate Of Commercial Banks,2003-02-01,21.63
Savings Rate,2003-03-01,5.03
Prime Lending Rate Of Commercial Banks,2003-03-01,21.16
Savings Rate,2003-04-01,5.28
Prime Lending Rate Of Commercial Banks,2003-04-01,21.1
Savings Rate,2003-05-01,4.62
Prime Lending Rate Of Commercial Banks,2003-05-01,21.14
Savings Rate,2003-06-01,3.6
Prime Lending Rate Of Commercial Banks,2003-06-01,21.15
Savings Rate,2003-07-01,3.58
Prime Lending Rate Of Commercial Banks,2003-07-01,20.94
Savings Rate,2003-08-01,4.41
Prime Lending Rate Of Commercial Banks,2003-08-01,20.27
Savings Rate,2003-09-01,4.81
Prime Lending Rate Of Commercial Banks,2003-09-01,20.04
Savings Rate,2003-10-01,3.63
Prime Lending Rate Of Commercial Banks,2003-10-01,20.0
Savings Rate,2003-11-01,3.38
Prime Lending Rate Of Commercial Banks,2003-11-01,19.63
Savings Rate,2003-12-01,3.16
Prime Lending Rate Of Commercial Banks,2003-12-01,19.58
Savings Rate,2004-01-01,3.52
Prime Lending Rate Of Commercial Banks,2004-01-01,19.49
Savings Rate,2004-02-01,4.15
Prime Lending Rate Of Commercial Banks,2004-02-01,19.57
Savings Rate,2004-03-01,5.7
Prime Lending Rate Of Commercial Banks,2004-03-01,19.47
Savings Rate,2004-04-01,3.13
Prime Lending Rate Of Commercial Banks,2004-04-01,19.46
Savings Rate,2004-05-01,3.52
Prime Lending Rate Of Commercial Banks,2004-05-01,19.4
Savings Rate,2004-06-01,3.32
Prime Lending Rate Of Commercial Banks,2004-06-01,19.21
Savings Rate,2004-07-01,4.69
Prime Lending Rate Of Commercial Banks,2004-07-01,19.04
Savings Rate,2004-08-01,4.63
Prime Lending Rate Of Commercial Banks,2004-08-01,18.81
Savings Rate,2004-09-01,4.37
Prime Lending Rate Of Commercial Banks,2004-09-01,19.0
Savings Rate,2004-10-01,4.41
Prime Lending Rate Of Commercial Banks,2004-10-01,18.93
Savings Rate,2004-11-01,4.42
Prime Lending Rate Of Commercial Banks,2004-11-01,18.89
Savings Rate,2004-12-01,4.37
Prime Lending Rate Of Commercial Banks,2004-12-01,18.91
Savings Rate,2005-01-01,4.41
Prime Lending Rate Of Commercial Banks,2005-01-01,18.86
Savings Rate,2005-02-01,4.36
Prime Lending Rate Of Commercial Banks,2005-02-01,18.43
Savings Rate,2005-03-01,4.22
Prime Lending Rate Of Commercial Banks,2005-03-01,18.2
Savings Rate,2005-04-01,4.01
Prime Lending Rate Of Commercial Banks,2005-04-01,18.19
Savings Rate,2005-05-01,4.07
Prime Lending Rate Of Commercial Banks,2005-05-01,18.1
Savings Rate,2005-06-01,4.03
Prime Lending Rate Of Commercial Banks,2005-06-01,17.8
Savings Rate,2005-07-01,3.75
Prime Lending Rate Of Commercial Banks,2005-07-01,17.78
Savings Rate,2005-08-01,3.64
Prime Lending Rate Of Commercial Banks,2005-08-01,17.53
Savings Rate,2005-09-01,3.44
Prime Lending Rate Of Commercial Banks,2005-09-01,17.6
Savings Rate,2005-10-01,3.32
Prime Lending Rate Of Commercial Banks,2005-10-01,17.54
Savings Rate,2005-11-01,3.35
Prime Lending Rate Of Commercial Banks,2005-11-01,17.57
Savings Rate,2005-12-01,3.32
Prime Lending Rate Of Commercial Banks,2005-12-01,17.78
Savings Rate,2006-01-01,4.5
Prime Lending Rate Of Commercial Banks,2006-01-01,16.69
Savings Rate,2006-02-01,2.96
Prime Lending Rate Of Commercial Banks,2006-02-01,16.57
Savings Rate,2006-03-01,2.98
Prime Lending Rate Of Commercial Banks,2006-03-01,16.3
Savings Rate,2006-04-01,2.98
Prime Lending Rate Of Commercial Banks,2006-04-01,16.25
Savings Rate,2006-05-01,2.95
Prime Lending Rate Of Commercial Banks,2006-05-01,16.97
Savings Rate,2006-06-01,2.96
Prime Lending Rate Of Commercial Banks,2006-06-01,17.08
Savings Rate,2006-07-01,2.96
Prime Lending Rate Of Commercial Banks,2006-07-01,17.08
Savings Rate,2006-08-01,2.91
Prime Lending Rate Of Commercial Banks,2006-08-01,16.81
Savings Rate,2006-09-01,2.93
Prime Lending Rate Of Commercial Banks,2006-09-01,17.19
Savings Rate,2006-10-01,3.08
Prime Lending Rate Of Commercial Banks,2006-10-01,17.19
Savings Rate,2006-11-01,3.1
Prime Lending Rate Of Commercial Banks,2006-11-01,17.26
Savings Rate,2006-12-01,3.25
Prime Lending Rate Of Commercial Banks,2006-12-01,17.33
Savings Rate,2007-01-01,3.36
Prime Lending Rate Of Commercial Banks,2007-01-01,17.64
Savings Rate,2007-02-01,3.19
Prime Lending Rate Of Commercial Banks,2007-02-01,17.63
Savings Rate,2007-03-01,4.3
Prime Lending Rate Of Commercial Banks,2007-03-01,17.18
Savings Rate,2007-04-01,3.84
Prime Lending Rate Of Commercial Banks,2007-04-01,18.05
Savings Rate,2007-05-01,3.82
Prime Lending Rate Of Commercial Banks,2007-05-01,16.94
Savings Rate,2007-06-01,3.78
Prime Lending Rate Of Commercial Banks,2007-06-01,16.92
Savings Rate,2007-07-01,3.77
Prime Lending Rate Of Commercial Banks,2007-07-01,16.57
Savings Rate,2007-08-01,3.71
Prime Lending Rate Of Commercial Banks,2007-08-01,16.42
Savings Rate,2007-09-01,3.05
Prime Lending Rate Of Commercial Banks,2007-09-01,16.46
Savings Rate,2007-10-01,3.39
Prime Lending Rate Of Commercial Banks,2007-10-01,16.5
Savings Rate,2007-11-01,3.15
Prime Lending Rate Of Commercial Banks,2007-11-01,16.5
Savings Rate,2007-12-01,3.19
Prime Lending Rate Of Commercial Banks,2007-12-01,16.46
Savings Rate,2008-01-01,2.88
Prime Lending Rate Of Commercial Banks,2008-01-01,15.52
Savings Rate,2008-02-01,2.83
Prime Lending Rate Of Commercial Banks,2008-02-01,15.58
Savings Rate,2008-03-01,2.94
Prime Lending Rate Of Commercial Banks,2008-03-01,15.23
Savings Rate,2008-04-01,2.97
Prime Lending Rate Of Commercial Banks,2008-04-01,15.39
Savings Rate,2008-05-01,2.76
Prime Lending Rate Of Commercial Banks,2008-05-01,15.02
Savings Rate,2008-06-01,2.79
Prime Lending Rate Of Commercial Banks,2008-06-01,15.17
Savings Rate,2008-07-01,2.82
Prime Lending Rate Of Commercial Banks,2008-07-01,15.22
Savings Rate,2008-08-01,2.79
Prime Lending Rate Of Commercial Banks,2008-08-01,15.08
Savings Rate,2008-09-01,2.75
Prime Lending Rate Of Commercial Banks,2008-09-01,14.77
Savings Rate,2008-10-01,2.79
Prime Lending Rate Of Commercial Banks,2008-10-01,14.81
Savings Rate,2008-11-01,2.78
Prime Lending Rate Of Commercial Banks,2008-11-01,14.58
Savings Rate,2008-12-01,2.92
Prime Lending Rate Of Commercial Banks,2008-12-01,15.26
Savings Rate,2009-01-01,2.59
Prime Lending Rate Of Commercial Banks,2009-01-01,16.78
Savings Rate,2009-02-01,2.59
Prime Lending Rate Of Commercial Banks,2009-02-01,18.9
Savings Rate,2009-03-01,2.62
Prime Lending Rate Of Commercial Banks,2009-03-01,19.19
Savings Rate,2009-04-01,2.58
Prime Lending Rate Of Commercial Banks,2009-04-01,19.28
Savings Rate,2009-05-01,2.6
Prime Lending Rate Of Commercial Banks,2009-05-01,18.75
Savings Rate,2009-06-01,2.67
Prime Lending Rate Of Commercial Banks,2009-06-01,19.08
Savings Rate,2009-07-01,2.4
Prime Lending Rate Of Commercial Banks,2009-07-01,19.34
Savings Rate,2009-08-01,2.79
Prime Lending Rate Of Commercial Banks,2009-08-01,19.39
Savings Rate,2009-09-01,2.36
Prime Lending Rate Of Commercial Banks,2009-09-01,18.91
Savings Rate,2009-10-01,2.23
Prime Lending Rate Of Commercial Banks,2009-10-01,19.06
Savings Rate,2009-11-01,3.35
Prime Lending Rate Of Commercial Banks,2009-11-01,19.66
Savings Rate,2009-12-01,3.33
Prime Lending Rate Of Commercial Banks,2009-12-01,19.55
Savings Rate,2010-01-01,3.34
Prime Lending Rate Of Commercial Banks,2010-01-01,18.82
Savings Rate,2010-02-01,3.31
Prime Lending Rate Of Commercial Banks,2010-02-01,18.74
Savings Rate,2010-03-01,3.03
Prime Lending Rate Of Commercial Banks,2010-03-01,19.03
Savings Rate,2010-04-01,2.94
Prime Lending Rate Of Commercial Banks,2010-04-01,19.05
Savings Rate,2010-05-01,2.92
Prime Lending Rate Of Commercial Banks,2010-05-01,18.77
Savings Rate,2010-06-01,1.95
Prime Lending Rate Of Commercial Banks,2010-06-01,17.65
Savings Rate,2010-07-01,1.62
Prime Lending Rate Of Commercial Banks,2010-07-01,17.4
Savings Rate,2010-08-01,1.41
Prime Lending Rate Of Commercial Banks,2010-08-01,16.89
Savings Rate,2010-09-01,1.49
Prime Lending Rate Of Commercial Banks,2010-09-01,16.66
Savings Rate,2010-10-01,1.48
Prime Lending Rate Of Commercial Banks,2010-10-01,16.16
Savings Rate,2010-11-01,1.48
Prime Lending Rate Of Commercial Banks,2010-11-01,16.11
Savings Rate,2010-12-01,1.51
Prime Lending Rate Of Commercial Banks,2010-12-01,15.74
Savings Rate,2011-01-01,1.48
Prime Lending Rate Of Commercial Banks,2011-01-01,15.77
Savings Rate,2011-02-01,1.51
Prime Lending Rate Of Commercial Banks,2011-02-01,15.75
Savings Rate,2011-03-01,1.34
Prime Lending Rate Of Commercial Banks,2011-03-01,15.81
Savings Rate,2011-04-01,1.41
Prime Lending Rate Of Commercial Banks,2011-04-01,15.75
Savings Rate,2011-05-01,1.39
Prime Lending Rate Of Commercial Banks,2011-05-01,15.81
Savings Rate,2011-06-01,1.33
Prime Lending Rate Of Commercial Banks,2011-06-01,15.76
Savings Rate,2011-07-01,1.42
Prime Lending Rate Of Commercial Banks,2011-07-01,15.84
Savings Rate,2011-08-01,1.42
Prime Lending Rate Of Commercial Banks,2011-08-01,15.82
Savings Rate,2011-09-01,1.42
Prime Lending Rate Of Commercial Banks,2011-09-01,15.87
Savings Rate,2011-10-01,1.4
Prime Lending Rate Of Commercial Banks,2011-10-01,16.49
Savings Rate,2011-11-01,1.43
Prime Lending Rate Of Commercial Banks,2011-11-01,16.82
Savings Rate,2011-12-01,1.37
Prime Lending Rate Of Commercial Banks,2011-12-01,16.75
Savings Rate,2012-01-01,1.42
Prime Lending Rate Of Commercial Banks,2012-01-01,16.92
Savings Rate,2012-02-01,1.49
Prime Lending Rate Of Commercial Banks,2012-02-01,17.11
Savings Rate,2012-03-01,1.67
Prime Lending Rate Of Commercial Banks,2012-03-01,17.27
Savings Rate,2012-04-01,1.81
Prime Lending Rate Of Commercial Banks,2012-04-01,16.9
Savings Rate,2012-05-01,1.78
Prime Lending Rate Of Commercial Banks,2012-05-01,16.98
Savings Rate,2012-06-01,1.76
Prime Lending Rate Of Commercial Banks,2012-06-01,16.93
Savings Rate,2012-07-01,1.79
Prime Lending Rate Of Commercial Banks,2012-07-01,16.96
Savings Rate,2012-08-01,1.78
Prime Lending Rate Of Commercial Banks,2012-08-01,16.53
Savings Rate,2012-09-01,1.79
Prime Lending Rate Of Commercial Banks,2012-09-01,16.37
Savings Rate,2012-10-01,1.76
Prime Lending Rate Of Commercial Banks,2012-10-01,16.48
