Date,Money_Supply_M2
1960-01-01,272.4
1961-01-01,292.83
1962-01-01,325.43
1963-01-01,361.82
1964-01-01,430.49
1965-01-01,467.37
1966-01-01,518.14
1967-01-01,451.34
1968-01-01,515.31
1969-01-01,660.4
1970-01-01,978.2
1971-01-01,1041.8
1972-01-01,1214.9
1973-01-01,1522.5
1974-01-01,2352.3
1975-01-01,4241.2
1976-01-01,5905.1
1977-01-01,7898.8
1978-01-01,7985.4
1979-01-01,10224.6
1980-01-01,15100.0
1981-01-01,16161.7
1982-01-01,18093.6
1983-01-01,20879.1
1984-01-01,23370.0
1985-01-01,26277.6
1986-01-01,27389.8
1987-01-01,33667.4
1988-01-01,45446.9
1989-01-01,47055.0
1990-01-01,68662.5
1991-01-01,87499.8
1992-01-01,129085.47
1993-01-01,132439.82
1993-02-01,137959.78
1993-03-01,146571.85
1993-04-01,159111.03
1993-05-01,153006.36
1993-06-01,159451.38
1993-07-01,166936.84
1993-08-01,175633.63
1993-09-01,176119.28
1993-10-01,186764.61
1993-11-01,191591.22
1993-12-01,198479.2
1994-01-01,208020.46
1994-02-01,211710.87
1994-03-01,208201.79
1994-04-01,211444.16
1994-05-01,219594.19
1994-06-01,228264.76
1994-07-01,224554.66
1994-08-01,233050.69
1994-09-01,242799.24
1994-10-01,251070.65
1994-11-01,257854.77
1994-12-01,266944.89
1995-01-01,275184.87
1995-02-01,289428.15
1995-03-01,254523.06
1995-04-01,277871.39
1995-05-01,267762.84
1995-06-01,290668.7
1995-07-01,283823.55
1995-08-01,303190.38
1995-09-01,301913.37
1995-10-01,300501.99
1995-11-01,305461.04
1995-12-01,318763.47
1996-01-01,324359.9
1996-02-01,325116.75
1996-03-01,328714.66
1996-04-01,343710.15
1996-05-01,338115.31
1996-06-01,354011.5
1996-07-01,344504.87
1996-08-01,352013.54
1996-09-01,351911.29
1996-10-01,354051.79
1996-11-01,363404.27
1996-12-01,370333.53
1997-01-01,394976.36
1997-02-01,391543.46
1997-03-01,409906.61
1997-04-01,409251.33
1997-05-01,410598.69
1997-06-01,410565.51
1997-07-01,405113.0
1997-08-01,408260.31
1997-09-01,425473.68
1997-10-01,429548.03
1997-11-01,434393.22
1997-12-01,429731.33
1998-01-01,435811.72
1998-02-01,439409.63
1998-03-01,468043.32
1998-04-01,471368.11
1998-05-01,472241.28
1998-06-01,477287.77
1998-07-01,496124.98
1998-08-01,500806.8
1998-09-01,527028.76
1998-10-01,521756.3
1998-11-01,522233.04
1998-12-01,525637.73
1999-01-01,536013.84
1999-02-01,553018.13
1999-03-01,609030.07
1999-04-01,589002.28
1999-05-01,686392.93
1999-06-01,634937.44
1999-07-01,621341.13
1999-08-01,629917.0
1999-09-01,655615.4
1999-10-01,624099.2
1999-11-01,708324.79
1999-12-01,699733.7
2000-01-01,648506.59
2000-02-01,722772.36
2000-03-01,795529.02
2000-04-01,801187.83
2000-05-01,808090.48
2000-06-01,904153.97
2000-07-01,942642.43
2000-08-01,948756.84
2000-09-01,962743.77
2000-10-01,984274.45
2000-11-01,986750.06
2000-12-01,1036079.5
2001-01-01,1092754.3
2001-02-01,1204777.7
2001-03-01,1274030.4
2001-04-01,1289159.1
2001-05-01,1303536.4
2001-06-01,1263161.2
2001-07-01,1271785.0
2001-08-01,1254749.7
2001-09-01,1327624.7
2001-10-01,1309696.6
2001-11-01,1324715.1
2001-12-01,1315869.15
2002-01-01,1347265.6
2002-02-01,1381821.4
2002-03-01,1423345.5
2002-04-01,1435397.5
2002-05-01,1442433.7
2002-06-01,1502054.9
2002-07-01,1503378.9
2002-08-01,1528379.1
2002-09-01,1605419.1
2002-10-01,1691612.5
2002-11-01,1610959.2
2002-12-01,1599494.6
2003-01-01,1746192.1
2003-02-01,1778660.2
2003-03-01,1918925.7
2003-04-01,1966190.1
2003-05-01,1857919.5
2003-06-01,2124315.7
2003-07-01,1952426.1
2003-08-01,1972619.0
2003-09-01,1981068.5
2003-10-01,2071969.0
2003-11-01,2079576.6
2003-12-01,1985191.8
2004-01-01,1917503.4
2004-02-01,2062656.1
2004-03-01,2106238.6
2004-04-01,2089655.8
2004-05-01,2105957.6
2004-06-01,2113281.4
2004-07-01,2123061.2
2004-08-01,2141896.8
2004-09-01,2156836.1
2004-10-01,2231973.6
2004-11-01,2269179.3
2004-12-01,2263587.9
2005-01-01,2349890.3
2005-02-01,2444112.4
2005-03-01,2568065.3
2005-04-01,2503988.4
2005-05-01,2566100.6
2005-06-01,2691297.0
2005-07-01,2803529.6
2005-08-01,2775685.6
2005-09-01,2772993.1
2005-10-01,2699799.6
2005-11-01,2664644.8
2005-12-01,2814846.1
2006-01-01,2967139.5
2006-02-01,2227472.8
2006-03-01,3307667.9
2006-04-01,3540703.6
2006-05-01,3684404.5
2006-06-01,3911821.5
2006-07-01,4109850.4
2006-08-01,4189053.5
2006-09-01,4320672.3
2006-10-01,4730662.8
2006-11-01,4557557.2
2006-12-01,4027901.7
2007-01-01,3900134.7
2007-02-01,4122142.0
2007-03-01,4798317.4
2007-04-01,5052863.3
2007-05-01,4909220.6
2007-06-01,5116246.7
2007-07-01,5130160.2
2007-08-01,5550488.3
2007-09-01,5672622.4
2007-10-01,5585227.8
2007-11-01,5881558.6
2007-12-01,5809826.5
2008-01-01,6527673.0
2008-02-01,7016468.5
2008-03-01,7998232.8
2008-04-01,7805093.5
2008-05-01,7546333.7
2008-06-01,7948368.8
2008-07-01,8067591.2
2008-08-01,8335290.5
2008-09-01,8960287.7
2008-10-01,8339115.5
2008-11-01,8387156.7
2008-12-01,9166835.3
2009-01-01,9294035.9
2009-02-01,9087967.0
2009-03-01,8997817.3
2009-04-01,9001008.1
2009-05-01,8720581.4
2009-06-01,9077026.5
2009-07-01,8889358.8
2009-08-01,9475324.9
2009-09-01,9458490.2
2009-10-01,9911551.3
2009-11-01,10239558.4
2009-12-01,10780627.14
2010-01-01,10446373.94
2010-02-01,10792645.17
2010-03-01,11023312.97
2010-04-01,10972487.61
2010-05-01,10759314.65
2010-06-01,10845498.1
2010-07-01,10941435.3
2010-08-01,11520644.68
2010-09-01,11224789.77
2010-10-01,11224607.28
2010-11-01,11142651.36
2010-12-01,11525530.34
2011-01-01,11561525.95
2011-02-01,11595668.3
2011-03-01,11653623.81
2011-04-01,11898956.66
2011-05-01,11986234.87
2011-06-01,12172096.71
2011-07-01,12389274.84
2011-08-01,12508014.99
2011-09-01,12618080.33
2011-10-01,12172500.07
2011-11-01,12210412.37
2011-12-01,13303494.5
2012-01-01,13755293.22
2012-02-01,13153787.49
2012-03-01,13270973.81
2012-04-01,13304783.81
2012-05-01,13603139.34
2012-06-01,13480391.26
2012-07-01,13392426.38
2012-08-01,13770062.26
2012-09-01,14065267.13
2012-10-01,14399299.17
2012-11-01,15062729.97
2012-12-01,15483847.53
2013-01-01,15308392.82
2013-02-01,15547624.71
2013-03-01,15669169.15
2013-04-01,15634382.05
2013-05-01,15424052.62
2013-06-01,15593172.51
2013-07-01,14811429.8
2013-08-01,14619449.23
2013-09-01,14362451.07
2013-10-01,14529508.0
2013-11-01,14734882.8
2013-12-01,15688963.55
2014-01-01,15493689.5
2014-02-01,15424175.17
2014-03-01,17732918.56
2014-04-01,17886647.83
2014-05-01,17622558.39
2014-06-01,17576640.3
2014-07-01,18102242.84
2014-08-01,17898902.47
2014-09-01,18200156.68
2014-10-01,18496197.88
2014-11-01,18804279.94
2014-12-01,18913028.98
2015-01-01,18965533.5
2015-02-01,18865922.34
2015-03-01,19132363.3
2015-04-01,19608078.85
2015-05-01,19196565.14
2015-06-01,18811429.4
2015-07-01,18424703.08
2015-08-01,18491571.96
2015-09-01,18718003.11
2015-10-01,18204395.78
2015-11-01,18367238.54
2015-12-01,20029831.12
2016-01-01,19799457.54
2016-02-01,20620803.08
2016-03-01,20470436.0
2016-04-01,20727909.47
2016-05-01,21035132.36
2016-06-01,22078013.46
2016-07-01,22535192.76
2016-08-01,22057000.95
2016-09-01,22013780.89
2016-10-01,22180072.3
2016-11-01,22386048.43
2016-12-01,23591732.58
2017-01-01,23096526.55
2017-02-01,22210954.84
2017-03-01,22304267.84
2017-04-01,21768241.12
2017-05-01,22047770.68
2017-06-01,21980582.35
2017-07-01,22195019.77
2017-08-01,21851454.31
2017-09-01,21953993.84
2017-10-01,22500618.01
2017-11-01,22311118.02
2017-12-01,24140634.21
2018-01-01,23963031.48
2018-02-01,24143010.28
2018-03-01,24424422.14
2018-04-01,24474153.99
2018-05-01,25169014.19
2018-06-01,24814004.52
2018-07-01,24971101.93
2018-08-01,24859346.47
2018-09-01,25560662.33
2018-10-01,26041903.87
2018-11-01,25467425.55
2018-12-01,27068575.06
2019-01-01,26771087.05
2019-02-01,26546639.71
2019-03-01,26834815.12
2019-04-01,27579445.15
2019-05-01,27813701.61
2019-06-01,27898828.27
2019-07-01,28277141.77
2019-08-01,27556798.88
2019-09-01,27669957.17
2019-10-01,27811790.84
2019-11-01,28415371.99
2019-12-01,28783194.45
2020-01-01,29132380.36
2020-02-01,29719364.53
2020-03-01,31010122.07
2020-04-01,31958484.85
2020-05-01,32719162.68
2020-06-01,32593522.49
2020-07-01,33337326.82
2020-08-01,34262588.49
2020-09-01,34965447.66
2020-10-01,35729184.39
2020-11-01,36517795.8
2020-12-01,37828875.85
2021-01-01,37544491.37
2021-02-01,38099427.26
2021-03-01,38288212.81
2021-04-01,38462975.04
2021-05-01,38692973.28
2021-06-01,38863053.22
2021-07-01,39733556.72
2021-08-01,40810092.82
2021-09-01,40449202.79
2021-10-01,41474377.37
2021-11-01,42600088.22
2021-12-01,44443065.59
2022-01-01,45089157.64
2022-02-01,44739337.92
2022-03-01,45663905.91
2022-04-01,47146645.19
2022-05-01,48513506.45
2022-06-01,48897446.57
2022-07-01,48290293.34
2022-08-01,49315851.17
2022-09-01,49331836.37
2022-10-01,50628734.53
2022-11-01,51684794.02
2022-12-01,51761777.98
2023-01-01,52835098.6
2023-02-01,52921785.2
2023-03-01,54185866.75
2023-04-01,55649344.64
2023-05-01,55550398.02
2023-06-01,64358217.2
2023-07-01,65319117.73
2023-08-01,65638978.68
2023-09-01,66174923.16
2023-10-01,72661232.78
2023-11-01,71342958.51
2023-12-01,78831122.0
2024-01-01,93772008.85
2024-02-01,95635011.58
2024-03-01,91945344.91
2024-04-01,96963523.96
2024-05-01,98986356.49
2024-06-01,101450517.62
2024-07-01,106347375.9
2024-08-01,107182219.49
2024-09-01,109401745.36
2024-10-01,107988822.02
2024-11-01,108946684.26
2024-12-01,113337685.23
2025-01-01,111098003.76
2025-02-01,110698746.06
2025-03-01,114203996.21
