Date,Market Type,Exchange Rate
2000-01-01,WDAS RDAS,98.78
2000-02-01,WDAS RDAS,99.91
2000-03-01,WDAS RDAS,100.93
2000-04-01,WDAS RDAS,100.38
2000-05-01,WDAS RDAS,101.15
2000-06-01,WDAS RDAS,101.83
2000-07-01,WDAS RDAS,105.33
2000-08-01,WDAS RDAS,102.88
2000-09-01,WDAS RDAS,102.36
2000-10-01,WDAS RDAS,102.48
2000-11-01,WDAS RDAS,102.52
2000-12-01,WDAS RDAS,106.71
2001-01-01,WDAS RDAS,110.5
2001-02-01,WDAS RDAS,110.71
2001-03-01,WDAS RDAS,110.66
2001-04-01,WDAS RDAS,113.7
2001-05-01,WDAS RDAS,113.57
2001-06-01,WDAS RDAS,112.48
2001-07-01,WDAS RDAS,111.85
2001-08-01,WDAS RDAS,111.7
2001-09-01,WDAS RDAS,111.6
2001-10-01,WDAS RDAS,111.6
2001-11-01,WDAS RDAS,111.99
2001-12-01,WDAS RDAS,112.99
2002-01-01,WDAS RDAS,113.96
2002-02-01,WDAS RDAS,114.28
2002-03-01,WDAS RDAS,116.04
2002-04-01,WDAS RDAS,116.13
2002-05-01,WDAS RDAS,116.55
2002-06-01,WDAS RDAS,118.49
2002-07-01,WDAS RDAS,123.72
2002-08-01,WDAS RDAS,125.75
2002-09-01,WDAS RDAS,126.45
2002-10-01,WDAS RDAS,126.56
2002-11-01,WDAS RDAS,126.83
2002-12-01,WDAS RDAS,126.88
2003-01-01,WDAS RDAS,127.07
2003-02-01,WDAS RDAS,127.32
2003-03-01,WDAS RDAS,127.16
2003-04-01,WDAS RDAS,127.37
2003-05-01,WDAS RDAS,127.67
2003-06-01,WDAS RDAS,127.83
2003-07-01,WDAS RDAS,127.77
2003-08-01,WDAS RDAS,127.9
2003-09-01,WDAS RDAS,128.58
2003-10-01,WDAS RDAS,129.79
2003-11-01,WDAS RDAS,136.61
2003-12-01,WDAS RDAS,137.22
2004-01-01,WDAS RDAS,136.08
2004-02-01,WDAS RDAS,135.16
2004-03-01,WDAS RDAS,134.43
2004-04-01,WDAS RDAS,133.51
2004-05-01,WDAS RDAS,133.01
2004-06-01,WDAS RDAS,132.75
2004-07-01,WDAS RDAS,132.8
2004-08-01,WDAS RDAS,132.83
2004-09-01,WDAS RDAS,132.84
2004-10-01,WDAS RDAS,132.86
2004-11-01,WDAS RDAS,132.87
2004-12-01,WDAS RDAS,132.86
2005-01-01,WDAS RDAS,132.86
2005-02-01,WDAS RDAS,132.85
2005-03-01,WDAS RDAS,132.85
2005-04-01,WDAS RDAS,132.85
2005-05-01,WDAS RDAS,132.82
2005-06-01,WDAS RDAS,132.87
2005-07-01,WDAS RDAS,132.87
2005-08-01,WDAS RDAS,133.23
2005-09-01,WDAS RDAS,130.81
2005-10-01,WDAS RDAS,130.84
2005-11-01,WDAS RDAS,130.63
2005-12-01,WDAS RDAS,130.29
2006-01-01,WDAS RDAS,130.29
2006-02-01,WDAS RDAS,129.59
2006-03-01,WDAS RDAS,128.7
2006-04-01,WDAS RDAS,128.47
2006-05-01,WDAS RDAS,128.45
2006-06-01,WDAS RDAS,128.45
2006-07-01,WDAS RDAS,128.38
2006-08-01,WDAS RDAS,128.33
2006-09-01,WDAS RDAS,128.29
2006-10-01,WDAS RDAS,128.28
2006-11-01,WDAS RDAS,128.29
2006-12-01,WDAS RDAS,128.29
2007-01-01,WDAS RDAS,128.28
2007-02-01,WDAS RDAS,128.27
2007-03-01,WDAS RDAS,128.15
2007-04-01,WDAS RDAS,127.98
2007-05-01,WDAS RDAS,127.56
2007-06-01,WDAS RDAS,127.41
2007-07-01,WDAS RDAS,127.19
2007-08-01,WDAS RDAS,126.68
2007-09-01,WDAS RDAS,125.88
2007-10-01,WDAS RDAS,124.28
2007-11-01,WDAS RDAS,120.12
2007-12-01,WDAS RDAS,118.21
2008-01-01,WDAS RDAS,117.98
2008-02-01,WDAS RDAS,118.21
2008-03-01,WDAS RDAS,117.92
2008-04-01,WDAS RDAS,117.87
2008-05-01,WDAS RDAS,117.83
2008-06-01,WDAS RDAS,117.81
2008-07-01,WDAS RDAS,117.77
2008-08-01,WDAS RDAS,117.74
2008-09-01,WDAS RDAS,117.73
2008-10-01,WDAS RDAS,117.72
2008-11-01,WDAS RDAS,117.74
2008-12-01,WDAS RDAS,126.48
2009-01-01,WDAS RDAS,145.78
2009-02-01,WDAS RDAS,147.14
2009-03-01,WDAS RDAS,147.72
2009-04-01,WDAS RDAS,147.23
2009-05-01,WDAS RDAS,147.84
2009-06-01,WDAS RDAS,148.2
